s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19
s1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
s2,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0
s3,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0
s4,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0
s5,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0
s6,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0
s7,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0
s8,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0
s9,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0
s10,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
s11,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1
s12,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0
s13,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0
s14,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
s15,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
s16,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1
s17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s18,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1
s19,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
