s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19
s1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1
s2,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
s3,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0
s4,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0
s5,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
s6,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
s7,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
s8,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1
s9,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1
s10,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1
s11,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1
s12,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0
s13,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
s14,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0
s15,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0
s16,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
s17,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
s18,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0
s19,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
