t11,t9,t6,t2,t14,t18,t7,t12,t3,t8,t10,t17,t15,t16,t19,t4,t5,t13,t1
t11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
t9,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
t6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
t2,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1
t14,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
t18,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
t7,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1
t12,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1
t3,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1
t8,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
t10,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0
t17,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0
t15,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
t16,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
t19,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
t4,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
t5,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0
t13,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
t1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0
