t9,t15,t19,t16,t10,t13,t7,t3,t11,t5,t1,t4,t17,t8,t6,t2,t12,t18,t14
t9,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0
t15,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
t19,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
t16,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
t10,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
t13,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
t7,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1
t3,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1
t11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
t5,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1
t1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
t4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
t17,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1
t8,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1
t6,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1
t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
t12,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1
t18,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1
t14,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
