t7,t2,t8,t1,t13,t12,t19,t10,t3,t18,t11,t5,t9,t15,t17,t14,t16,t4,t6
t7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
t2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t8,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
t1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0
t13,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
t12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
t19,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1
t10,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1
t3,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
t18,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
t11,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
t5,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1
t9,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
t15,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
t17,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1
t14,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
t16,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
t4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
t6,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
