t13,t14,t7,t19,t10,t11,t8,t4,t9,t12,t2,t3,t5,t18,t16,t17,t15,t1,t6
t13,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
t14,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1
t7,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0
t19,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0
t10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
t11,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
t8,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
t4,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0
t9,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
t12,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
t2,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
t3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0
t5,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1
t18,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
t16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
t17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
t15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
t1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
t6,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0
