t7,t1,t2,t19,t17,t16,t4,t12,t13,t11,t15,t10,t3,t14,t6,t5,t9,t8,t18
t7,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
t1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
t2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t19,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
t17,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
t16,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
t4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
t12,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
t13,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0
t11,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1
t15,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1
t10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
t3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
t14,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
t6,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1
t5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
t9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
t8,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0
t18,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0
