t8,t7,t11,t16,t12,t13,t9,t6,t2,t14,t4,t17,t19,t5,t18,t1,t10,t3,t15
t8,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0
t7,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0
t11,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0
t16,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0
t12,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0
t13,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
t9,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0
t6,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0
t2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0
t14,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
t4,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0
t17,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
t19,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
t5,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1
t18,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1
t1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0
t10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
t3,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
t15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
