t1,t14,t2,t3,t18,t16,t12,t13,t5,t7,t15,t8,t19,t9,t4,t11,t10,t17,t6
t1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t14,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
t2,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0
t3,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
t18,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
t16,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
t12,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
t13,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
t5,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
t7,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
t15,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
t8,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0
t19,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
t9,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0
t4,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0
t11,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
t10,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
t17,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
t6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
