t5,t4,t3,t18,t6,t10,t16,t14,t13,t9,t11,t15,t2,t1,t12,t7,t19,t17,t8
t5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
t4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
t3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t18,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t6,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0
t10,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0
t16,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0
t14,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
t13,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
t9,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1
t11,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
t15,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1
t2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
t1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
t12,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0
t7,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
t19,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
t17,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
t8,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0
