t10,t7,t11,t2,t6,t18,t3,t19,t9,t4,t14,t1,t8,t16,t17,t13,t5,t12,t15
t10,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1
t7,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
t11,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
t2,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
t6,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
t18,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1
t3,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
t19,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1
t9,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0
t4,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0
t14,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0
t1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
t8,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0
t16,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0
t17,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0
t13,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
t5,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
t12,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
t15,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0
