t5,t16,t14,t7,t2,t11,t19,t6,t12,t9,t10,t13,t1,t4,t17,t15,t18,t8,t3
t5,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1
t16,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1
t14,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
t7,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
t2,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0
t11,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1
t19,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
t6,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1
t12,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1
t9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t13,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0
t1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0
t4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0
t17,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1
t15,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0
t18,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1
t8,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0
t3,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0
