t11,t7,t15,t1,t2,t8,t13,t12,t5,t10,t17,t6,t19,t16,t14,t18,t9,t4,t3
t11,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1
t7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1
t15,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1
t1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
t2,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1
t8,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
t13,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
t12,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
t5,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1
t10,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1
t17,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1
t6,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1
t19,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1
t16,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
t14,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1
t18,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
t9,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0
t4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
t3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
