t8,t12,t2,t13,t9,t7,t10,t11,t16,t4,t3,t19,t5,t17,t6,t14,t1,t18,t15
t8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
t12,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1
t2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
t13,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
t9,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
t7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
t10,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
t11,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
t16,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
t4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
t3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
t19,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
t5,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0
t17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t18,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
t15,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
