t10,t4,t18,t6,t16,t7,t5,t14,t8,t13,t11,t19,t3,t1,t15,t9,t2,t17,t12
t10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
t4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
t18,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1
t6,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0
t16,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0
t7,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0
t5,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0
t14,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0
t8,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
t13,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1
t11,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0
t19,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0
t3,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0
t1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
t15,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
t9,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
t2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
t17,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
t12,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
