t11,t12,t10,t13,t17,t4,t7,t18,t1,t16,t2,t19,t8,t15,t9,t5,t6,t14,t3
t11,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1
t12,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
t10,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1
t13,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1
t17,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1
t4,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0
t7,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1
t18,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
t1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1
t16,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
t2,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
t19,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0
t8,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
t15,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
t9,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0
t5,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0
t6,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0
t14,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
t3,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0
