t16,t18,t12,t8,t15,t7,t3,t5,t17,t6,t11,t19,t10,t2,t13,t9,t14,t1,t4
t16,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
t18,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
t12,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
t8,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
t15,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
t7,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
t3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
t5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
t17,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
t6,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0
t11,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0
t19,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0
t10,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0
t2,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
t13,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0
t9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
t14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
