t19,t12,t10,t2,t5,t15,t17,t9,t8,t3,t16,t11,t6,t7,t4,t14,t13,t18,t1
t19,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
t12,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
t10,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
t2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1
t5,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
t15,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
t17,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0
t9,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0
t8,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0
t3,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0
t16,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0
t11,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0
t6,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0
t7,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0
t4,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
t14,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
t13,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1
t18,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
t1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
