t5,t17,t19,t6,t2,t10,t7,t9,t15,t16,t8,t11,t4,t1,t13,t14,t3,t12,t18
t5,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
t17,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1
t19,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1
t6,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1
t2,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1
t10,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1
t7,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1
t9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
t15,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
t16,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
t8,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
t11,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
t4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
t1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
t13,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
t14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
t3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
t12,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1
t18,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0
