t5,t17,t15,t2,t3,t7,t13,t14,t12,t19,t16,t10,t4,t1,t6,t9,t11,t8,t18
t5,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1
t17,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1
t15,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1
t2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
t3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
t7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
t13,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0
t14,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0
t12,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0
t19,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0
t16,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1
t10,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
t4,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
t1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
t6,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0
t9,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1
t11,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1
t8,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
t18,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0
