t14,t1,t4,t19,t13,t9,t7,t2,t3,t15,t11,t10,t8,t16,t6,t17,t18,t12,t5
t14,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1
t1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
t4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
t19,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
t13,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
t9,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
t7,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
t2,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1
t3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0
t15,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0
t11,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0
t10,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0
t8,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0
t16,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
t6,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0
t17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
t18,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
t12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
t5,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
