t6,t10,t11,t1,t12,t3,t7,t16,t18,t9,t4,t5,t15,t17,t13,t19,t14,t8,t2
t6,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
t10,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
t11,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
t1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
t12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
t3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
t7,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1
t16,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1
t18,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1
t9,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1
t4,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1
t5,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1
t15,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1
t17,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
t13,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
t19,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1
t14,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
t8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
t2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
