t2,t18,t3,t1,t12,t15,t6,t5,t14,t8,t7,t17,t13,t4,t11,t16,t19,t10,t9
t2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t18,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
t1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1
t12,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1
t15,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0
t6,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0
t5,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1
t14,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
t8,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
t7,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
t17,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
t13,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0
t4,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
t11,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0
t16,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0
t19,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1
t10,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0
t9,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0
