t17,t1,t12,t13,t9,t5,t7,t4,t19,t10,t11,t15,t18,t16,t2,t8,t6,t14,t3
t17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
t1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
t12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
t13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
t9,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1
t5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1
t7,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1
t4,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1
t19,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
t10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
t11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
t15,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
t18,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1
t16,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
t2,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
t8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1
t6,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
t14,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1
t3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
