t12,t18,t13,t19,t9,t11,t8,t14,t10,t5,t4,t1,t2,t15,t7,t16,t3,t17,t6
t12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
t18,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
t13,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0
t19,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0
t9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
t11,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
t8,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1
t14,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0
t10,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0
t5,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0
t4,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0
t1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0
t2,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0
t15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
t7,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
t16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
t3,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0
t17,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1
t6,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
