t12,t8,t9,t7,t6,t18,t4,t5,t19,t11,t16,t13,t14,t15,t3,t10,t1,t2,t17
t12,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0
t8,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0
t9,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
t7,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
t6,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
t18,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0
t4,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1
t5,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
t19,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
t11,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
t16,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
t13,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0
t14,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1
t15,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1
t3,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0
t10,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
t1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0
t2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
t17,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
