t12,t7,t8,t9,t1,t19,t16,t4,t15,t3,t2,t17,t11,t5,t14,t13,t6,t18,t10
t12,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
t7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
t8,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
t9,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
t1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0
t19,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0
t16,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0
t4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
t15,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0
t3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0
t2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
t17,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
t11,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
t5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
t14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
t13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
t6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1
t18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
t10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
