t17,t18,t2,t19,t3,t7,t9,t5,t13,t8,t10,t12,t16,t1,t4,t15,t14,t6,t11
t17,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
t18,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1
t2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1
t19,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1
t3,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1
t7,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1
t9,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
t5,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
t13,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
t8,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1
t10,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1
t12,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0
t16,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0
t1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1
t4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1
t15,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
t14,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0
t6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
t11,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0
