t2,t1,t6,t10,t15,t17,t3,t12,t16,t11,t5,t18,t14,t9,t19,t13,t4,t7,t8
t2,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
t1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
t6,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
t10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
t15,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1
t17,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1
t3,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0
t12,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0
t16,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1
t11,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1
t5,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1
t18,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1
t14,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1
t9,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1
t19,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1
t13,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1
t4,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1
t7,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1
t8,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
