t9,t8,t7,t2,t5,t4,t6,t16,t3,t19,t18,t1,t14,t13,t15,t10,t12,t17,t11
t9,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
t8,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
t7,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
t2,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0
t5,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
t4,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
t6,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
t16,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
t3,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
t19,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
t18,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
t1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1
t14,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
t13,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0
t15,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0
t10,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0
t12,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
t17,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
t11,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0
