t13,t10,t18,t1,t7,t2,t8,t14,t16,t6,t5,t3,t12,t9,t15,t19,t11,t17,t4
t13,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
t10,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
t18,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
t1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
t7,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
t2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1
t8,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1
t14,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
t16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
t6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t5,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1
t3,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
t12,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0
t9,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
t15,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1
t19,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1
t11,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0
t17,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0
t4,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0
