t11,t7,t15,t14,t18,t6,t2,t4,t9,t12,t3,t1,t5,t19,t17,t8,t16,t13,t10
t11,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
t7,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
t15,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1
t14,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1
t18,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
t6,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
t2,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
t4,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0
t9,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0
t12,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
t3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
t1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0
t5,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0
t19,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
t17,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
t8,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
t16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
t13,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1
t10,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0
