t3,t5,t2,t8,t17,t11,t15,t12,t6,t1,t18,t13,t19,t9,t14,t7,t10,t4,t16
t3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
t5,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
t2,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
t8,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1
t17,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1
t11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
t15,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
t12,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
t6,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
t1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
t18,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0
t13,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
t19,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0
t9,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0
t14,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
t7,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1
t10,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
t4,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
t16,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
