t12,t19,t2,t18,t4,t9,t10,t3,t15,t16,t17,t1,t11,t7,t13,t6,t14,t5,t8
t12,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0
t19,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0
t2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0
t18,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0
t4,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0
t9,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
t10,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0
t3,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0
t15,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0
t16,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0
t17,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
t1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1
t11,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1
t7,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
t13,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
t6,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
t14,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0
t5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
t8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0
