t14,t9,t18,t3,t13,t12,t19,t6,t8,t17,t10,t15,t4,t7,t16,t5,t1,t2,t11
t14,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
t9,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
t18,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0
t3,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0
t13,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
t12,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
t19,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
t6,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
t8,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
t17,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
t10,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
t15,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1
t4,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
t7,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
t16,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0
t5,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0
t1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0
t2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
t11,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0
