t19,t9,t6,t17,t8,t10,t12,t7,t15,t3,t14,t16,t13,t18,t5,t1,t4,t11,t2
t19,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t9,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t6,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t17,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1
t8,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
t10,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
t12,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
t7,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
t15,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
t3,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1
t14,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1
t16,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1
t13,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
t18,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
t5,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
t1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1
t4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
t11,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
t2,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0
