t7,t12,t5,t10,t14,t4,t11,t3,t6,t2,t9,t17,t13,t1,t18,t8,t15,t16,t19
t7,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
t12,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
t5,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
t10,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
t14,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
t4,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
t11,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
t3,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0
t6,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
t2,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0
t9,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0
t17,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
t13,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0
t1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0
t18,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
t8,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
t15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
t16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
t19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
