t17,t12,t7,t19,t11,t10,t15,t1,t5,t4,t8,t3,t2,t9,t13,t6,t16,t14,t18
t17,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0
t12,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1
t7,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1
t19,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1
t11,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
t10,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0
t15,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0
t1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
t5,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
t4,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
t8,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
t3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0
t2,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1
t9,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1
t13,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0
t6,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0
t16,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0
t14,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
t18,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
