t10,t2,t18,t9,t19,t5,t14,t7,t6,t8,t1,t3,t13,t12,t11,t15,t16,t4,t17
t10,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1
t2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
t18,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0
t9,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0
t19,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1
t5,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1
t14,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1
t7,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1
t6,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1
t8,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
t1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
t3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
t13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
t12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
t11,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0
t15,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1
t16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
t4,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1
t17,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0
