t19,t5,t13,t17,t9,t8,t15,t7,t1,t2,t18,t16,t6,t11,t14,t12,t10,t3,t4
t19,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
t5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t13,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
t17,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
t9,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
t8,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1
t15,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1
t7,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1
t1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1
t2,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1
t18,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
t16,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1
t6,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
t11,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
t14,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
t12,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
t10,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
t3,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
t4,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
