t7,t14,t10,t19,t18,t15,t13,t1,t11,t9,t8,t16,t4,t6,t5,t12,t17,t3,t2
t7,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
t14,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
t10,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
t19,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
t18,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
t15,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
t13,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0
t1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0
t11,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1
t9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
t8,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0
t16,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
t4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
t6,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
t5,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
t12,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0
t17,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1
t3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
t2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
