t10,t1,t8,t12,t2,t18,t14,t7,t13,t19,t4,t17,t6,t16,t9,t15,t11,t5,t3
t10,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
t1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1
t8,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
t12,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t18,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1
t14,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1
t7,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
t13,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
t19,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0
t4,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1
t17,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0
t6,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
t16,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
t9,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
t15,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
t11,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
t5,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
t3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
