t4,t12,t11,t8,t15,t1,t10,t16,t3,t18,t19,t6,t13,t14,t17,t5,t9,t7,t2
t4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
t12,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
t11,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
t8,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
t15,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
t1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0
t10,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
t16,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0
t3,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0
t18,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0
t19,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1
t6,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1
t13,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1
t14,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1
t17,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
t5,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1
t9,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
t7,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
t2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
