t19,t18,t5,t3,t15,t7,t17,t14,t4,t8,t9,t13,t2,t1,t10,t12,t16,t11,t6
t19,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0
t18,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
t5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
t3,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
t15,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1
t7,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0
t17,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
t14,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
t4,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0
t8,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0
t9,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
t13,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0
t2,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
t1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0
t10,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0
t12,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0
t16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
t11,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
t6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
