t11,t1,t18,t6,t12,t10,t17,t13,t8,t16,t2,t4,t15,t7,t19,t14,t9,t5,t3
t11,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
t1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
t18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
t6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
t12,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
t10,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
t17,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1
t13,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0
t8,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0
t16,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0
t2,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1
t4,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1
t15,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0
t7,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1
t19,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1
t14,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1
t9,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1
t5,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0
t3,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0
