t9,t5,t19,t6,t11,t17,t12,t16,t14,t4,t8,t3,t10,t13,t18,t1,t2,t15,t7
t9,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
t5,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
t19,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
t6,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0
t11,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
t17,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
t12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
t16,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
t14,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
t4,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0
t8,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0
t3,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0
t10,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0
t13,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1
t18,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1
t1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0
t2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0
t15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
t7,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
