t5,t9,t12,t15,t18,t16,t14,t4,t10,t7,t6,t3,t17,t11,t19,t13,t8,t1,t2
t5,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1
t9,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1
t12,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1
t15,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1
t18,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1
t16,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1
t14,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0
t4,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
t10,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0
t7,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0
t6,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0
t3,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0
t17,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
t11,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0
t19,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0
t13,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
t8,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0
t1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0
t2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
