t8,t7,t17,t10,t11,t18,t3,t9,t16,t12,t5,t13,t6,t19,t4,t2,t1,t15,t14
t8,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0
t7,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0
t17,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0
t10,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0
t11,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1
t18,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1
t3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0
t9,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0
t16,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0
t12,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
t5,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0
t13,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0
t6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
t19,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0
t4,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0
t2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
t1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
t15,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
t14,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
