t10,t6,t8,t5,t7,t19,t2,t1,t12,t4,t15,t11,t9,t18,t16,t17,t14,t3,t13
t10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
t6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
t8,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0
t5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
t7,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
t19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
t12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
t4,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
t15,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
t11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
t18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
t16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
t17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
t14,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1
t3,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
t13,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
