t17,t7,t1,t10,t16,t4,t12,t3,t9,t2,t6,t5,t15,t18,t14,t11,t19,t8,t13
t17,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
t7,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
t1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
t10,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
t16,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
t4,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
t12,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
t3,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1
t9,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0
t2,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0
t6,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0
t5,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1
t15,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
t18,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1
t14,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
t11,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
t19,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
t8,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
t13,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
