t1,t12,t6,t19,t10,t17,t8,t14,t16,t3,t4,t15,t11,t13,t2,t9,t18,t5,t7
t1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0
t12,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0
t6,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1
t19,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0
t10,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
t17,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
t8,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0
t14,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0
t16,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0
t3,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0
t4,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0
t15,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0
t11,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
t13,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1
t2,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0
t9,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1
t18,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0
t5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0
t7,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
