tree.number	q01.sim	q10.sim	pSpec.sim	q01.fit	q10.fit	pSpec.fit	llik.fit	
69	 0.1	 0.1	 0.4	 0.111576205504264	 0.545545874245731	 0.439342154470683	 77.6345444263169	 
72	 0.1	 0.1	 0.4	 0.0335996773325969	 0.317671860048663	 0.319435443010687	 31.8874708102365	 
99	 0.1	 0.1	 0.4	 0.124517535673989	 0.574421020332092	 0.437796202159407	 77.6598574582448	 
68	 0.1	 0.1	 0.4	 0.143918754244977	 0.649528270179302	 0.217358480516831	 75.6664493946114	 
89	 0.1	 0.1	 0.4	 0.0541891123461543	 0.317579054837491	 0.285755880575348	 63.4586890299352	 
96	 0.1	 0.1	 0.4	 0.0454811869410478	 0.306383541648411	 0.310973635994233	 49.0178823752367	 
93	 0.1	 0.1	 0.4	 0.0767029810024272	 0.369999641401477	 0.508535136523534	 69.4509186217295	 
86	 0.1	 0.1	 0.4	 0.0637719401191044	 0.502256916343091	 0.261512281786295	 43.7739879263125	 
91	 0.1	 0.1	 0.4	 0.069129034903498	 0.230627729067623	 0.487258674893026	 63.4425224792184	 
98	 0.1	 0.1	 0.4	 0.100816146321322	 0.365677293409704	 0.230161662114524	 64.2320280036556	 
87	 0.1	 0.1	 0.4	 0.0788354700442449	 0.591449364180138	 0.468252071688268	 57.3090259239762	 
76	 0.1	 0.1	 0.4	 0.06341272990172	 0.390452806679788	 0.619917928784503	 45.7650046500886	 
74	 0.1	 0.1	 0.4	 0.117876613131972	 0.359824039774211	 0.554533062200087	 83.4534108980538	 
82	 0.1	 0.1	 0.4	 0.135413362587653	 0.763400816721713	 0.29916682653954	 76.1946110116854	 
62	 0.1	 0.1	 0.4	 0.0738966267709925	 0.877993277847629	 0.341210389874124	 68.1866962372865	 
59	 0.1	 0.1	 0.4	 0.124491267552923	 0.357661523564523	 0.324405171658883	 75.790811130515	 
71	 0.1	 0.1	 0.4	 0.0547691887704389	 0.498377639863353	 0.45744044577104	 60.8685758027174	 
60	 0.1	 0.1	 0.4	 0.0294223020672888	 0.412259215292849	 0.260384633902833	 30.6476520165029	 
77	 0.1	 0.1	 0.4	 0.0743724412067495	 0.455216077868775	 0.739205582863836	 61.4912814374851	 
65	 0.1	 0.1	 0.4	 0.071172661621603	 0.511291728769244	 0.416523192077212	 58.7393948517406	 
88	 0.1	 0.1	 0.4	 0.088454330815004	 0.788131988253259	 0.150169692978994	 60.9842997982729	 
84	 0.1	 0.1	 0.4	 0.152641408857833	 0.78754654642253	 0.315106768509946	 63.1110811831677	 
81	 0.1	 0.1	 0.4	 0.0729494103651454	 0.887276463122979	 0.192799911673457	 39.2563628955864	 
