MATRIX 0-1	Agrimonia eupatoria	Leontodon autumnalis	Lotus corniculatus	Medicago lupulina	Rubus fruticosus	Hypochaeris radicata	Centaurea nigra	Euphrasia officinalis	Linum catharticum	Convulvulus arvensis	Knautia arvensis	Aethusa cynapium	Eupatorium cannabinum	Plantago major	Leontodon saxatilis	Lathyrus pratensis	Clematis vitalba	Senecio jacobaea	Trifolium pratense	Chamerion angustifolium	Leontodon hispidus	Crepis capillaris	Torilis japonica	Angelica sylvertris	Daucus carota
Meliscaeva auricollis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
Metasyrphus corollae	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Platycheirus albimanus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
P. clypeatus	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
P. scutatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
 Rhingia campestris	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1
Scaeva pyrastri	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Sphaerophoria scripta	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1
Syritta pipiens	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	1	1
Syrphus ribesii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
S. vitripennis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Xanthogramma pedissequum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bombus lapidarius	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
